Title,Address,Phone
IO영어,서울 종로구 자하문로 83 2층,02-725-4752
P.E.S.,서울 종로구 세종대로23길 47 1층 30호,0507-1417-2707
리딩업,서울 종로구 통일로 246-10 무악현대상가 3층 304호,010-5790-0596
무비랑,서울 종로구 종로 413 동보빌딩 5층,02-1544-3634
스마트리딩넘버원영어교습소,서울 종로구 송월길 155,02-732-9409
쥬빌리영어학원,서울 종로구 평창문화로 6-1 2층,02-3216-0579
글로벌어학원 종로점,서울 종로구 삼일대로15길 19 글로벌빌딩 3충,02-733-8282
한림일본어학원 한국지사,서울 종로구 종로 19 르메이에르종로타운 A동 1509호,02-722-8333
이엠잉글리쉬,서울 종로구 난계로 259 경일오피스텔 303호,080-234-8847
차이나탄캠프 광화문을지로센터,서울 종로구 종로1길 50 케이트윈타워 wework 3층,070-7777-7586
랩스어학원 종로점,서울 종로구 율곡로 84 가든타워 1203호,
스패로우잉글리쉬영어교습소,서울 종로구 진흥로 490,02-3216-0579
NED어학원,서울 종로구 동숭길 25 3층,
동양외국어학원,서울 종로구 창신1길 12,
하이플러스영어학원,서울 종로구 이화장1길 12,
이초영 잉글리쉬스튜디오,서울 종로구 종로 369,070-7716-2020
해법중국어교실 명륜동점,서울 종로구 성균관로 75 1층,02-6084-8899
시사아카데미법인,서울 종로구 삼일대로17길 16,02-730-1582
이탑영어학원,"서울 종로구 평창12길 3 나라빌딩 402,406호",02-379-1188
중국어능력시험시험관리위원회,서울 종로구 삼일대로17길 16,02-737-1593
이종권일본어학원,서울 종로구 우정국로2길 21,
북앤톡영어교습소,서울 종로구 송월길 99 경희궁자이 2단지 상가 2228호,010-7514-3675
비타어학원기업체외국어교육,"서울 종로구 종로 120 동영타워 6층, B2층",02-737-2421
비자코리아,서울 종로구 창신길 16,010-3118-8715
독문화독일어 통역학원 종로캠퍼스,서울 종로구 우정국로2길 42 덕산빌딩 6층,
패스트원 광화문센터,서울 종로구 종로5길 7,
따광화중국어학원,서울 종로구 송월길 99 경희궁 자이 상가 2단지 2230호,02-725-3332
제니스영어교습소,서울 종로구 세검정로9길 19,010-9267-4008
이피리언 영어학원,서울 종로구 송월길 159 102호,02-738-9197
ENP 종각점,서울 종로구 종로 80-2,02-2135-9755
시사에듀,서울 종로구 종로8길 21 남창빌딩 501호,
잉글리쉬커넥트,서울 종로구 대학로 136 4층,
글로벌영재영어교습소,서울 종로구 지봉로 64 4층,
따광화중국어교습소,서울 종로구 송월길 99,
와이즈연구소,서울 종로구 새문안로 69,070-7820-3944
오늘영어교습소,서울 종로구 혜화로 23,
언어교육,서울 종로구 경희궁길 26,
나비아이앤티,서울 종로구 삼봉로 57,02-720-3216
CEI어학원,서울 종로구 성균관로 10 2층,
킹스컬리지어학학원,서울 성북구 성북로9길 9,02-3676-0505
영어이야기,서울 서대문구 세검정로 94,
푸른영어듣기교실 서대문지사,서울 서대문구 통일로34길 48,02-396-5568
차일드유 정석학원,서울 서대문구 세검정로 90,02-396-3660
에이스수능영어교습소,서울 서대문구 간호대로 3,02-3216-9992
탑클래스영어학원,"서울 서대문구 세검정로 89 예학빌딩 3층 301,302호",02-3417-0505
모리일본어교습소,서울 서대문구 통일로34길 35 상가1동 1층 14호,
연세IG영어,서울 서대문구 세검정로 99,
하이줄리영어,서울 서대문구 통일로34길 35 홍제원현대아파트상가 1층 17호,010-3077-1272
3030영어,서울 서대문구 통일로34길 35,
